Year,NumberOfCrimes,CrimeTypes,Criminal Damage,Drugs,Fraud or Forgery,Other Notifiable Offences,Robbery,Sexual Offences,Theft and Handling,Violence Against The Person
2011-01,9051,Burglary,5909,5001,1934,965,3277,803,22433,12536
2011-02,7792,Burglary,5533,4924,1945,955,3116,722,21531,11807
2011-03,8348,Burglary,6362,5345,2018,1050,3261,851,24377,13039
2011-04,7622,Burglary,6533,4454,1667,918,3272,731,22812,13187
2011-05,8235,Burglary,6761,5132,1771,1048,3731,855,25415,13400
2011-06,7361,Burglary,6295,5374,1779,1050,3336,864,24697,13385
2011-07,7474,Burglary,6366,6132,2098,1106,3469,858,23912,13736
2011-08,8245,Burglary,7117,5287,1797,1045,3040,711,22556,12660
2011-09,7102,Burglary,5737,4744,1756,927,2660,791,21521,12307
2011-10,7909,Burglary,5917,4973,1869,883,3054,830,23111,13101
2011-11,8344,Burglary,5716,5011,2089,900,3302,812,23289,12481
2011-12,8749,Burglary,5318,4178,1994,845,2857,624,21442,11616
2012-01,8717,Burglary,5629,5094,2036,860,2957,730,22484,11853
2012-02,7650,Burglary,5077,4328,2123,879,2806,668,20677,11086
2012-03,8669,Burglary,5837,4795,2577,984,3342,725,25495,12971
2012-04,7555,Burglary,5175,3777,2344,772,2999,689,25165,11973
2012-05,7349,Burglary,5680,3975,2534,912,3038,798,28040,13671
2012-06,7527,Burglary,5471,4396,2471,840,3007,720,26225,12984
2012-07,7124,Burglary,5318,4589,2673,929,2997,806,26806,13590
2012-08,7288,Burglary,5408,4957,2670,980,2685,738,25240,13539
2012-09,6917,Burglary,4628,4164,2482,949,2710,686,23329,12331
2012-10,7984,Burglary,4758,3999,2752,923,2859,860,26708,12440
2012-11,8789,Burglary,4974,4139,3010,901,3064,837,27027,12036
2012-12,8137,Burglary,4454,3788,2347,782,2914,709,25616,12004
2013-01,8484,Burglary,4594,4460,2543,766,2727,805,25551,11417
2013-02,7790,Burglary,4576,4066,377,856,2332,675,24376,10375
2013-03,7612,Burglary,4500,4451,128,940,2609,654,24968,11685
2013-04,7141,Burglary,4835,3999,76,897,2281,702,23978,11476
2013-05,6857,Burglary,4986,4278,89,911,2403,907,23568,12361
